fighter_name,strikes_acc,tkd_acc,avg_kd_ft,str_by_pos,str_by_tar,win_meth
jaqueline-amorim,N/A,N/A,N/A,N/A,N/A,N/A
joselyne-edwards,N/A,N/A,N/A,N/A,N/A,N/A
tristan-connelly,N/A,N/A,N/A,N/A,N/A,N/A
alatengheili,"STRIKING ACCURACY
Sig. Strikes Landed
223
Sig. Strikes Attempted
657","TAKEDOWN ACCURACY
Takedowns Landed
3
Takedowns Attempted
23","0.20
KNOCKDOWN AVG
12:38
AVERAGE FIGHT TIME","STANDING
212 (95%)
CLINCH
1 (0%)
GROUND
10 (4%)","SIG. STR. BY TARGET
67%
150
Head
17%
39
Body
15%
34
Leg","KO/TKO
5 (33%)
DEC
7 (47%)
SUB
3 (20%)"
aoriqileng,"STRIKING ACCURACY
Sig. Strikes Landed
290
Sig. Strikes Attempted
596","TAKEDOWN ACCURACY
Takedowns Landed
4
Takedowns Attempted
11","0.31
KNOCKDOWN AVG
11:57
AVERAGE FIGHT TIME","STANDING
242 (83%)
CLINCH
20 (7%)
GROUND
28 (10%)","SIG. STR. BY TARGET
69%
200
Head
23%
68
Body
8%
22
Leg","KO/TKO
7 (30%)
DEC
14 (61%)
SUB
2 (9%)"
