First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,
Tom,Aaron,,--,155 lbs.,--,,5,3,0,,tom-aaron
Danny,Abbadi,The Assassin,"5' 11""",155 lbs.,--,Orthodox,4,6,0,,danny-abbadi
Nariman,Abbasov,Bayraktar,"5' 8""",155 lbs.,"66.0""",Orthodox,28,4,0,,nariman-abbasov
David,Abbott,Tank,"6' 0""",265 lbs.,--,Switch,10,15,0,,david-abbott
Hamdy,Abdelwahab,The Hammer,"6' 2""",264 lbs.,"72.0""",Southpaw,5,0,0,,hamdy-abdelwahab
Shamil,Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,20,8,0,,shamil-abdurakhimov
Hiroyuki,Abe,Abe Ani,"5' 6""",145 lbs.,--,Orthodox,8,15,3,,hiroyuki-abe
Daichi,Abe,,"5' 11""",170 lbs.,"71.0""",Orthodox,6,2,0,,daichi-abe
Papy,Abedi,Makambo,"5' 11""",185 lbs.,--,Southpaw,10,4,0,,papy-abedi
Ricardo,Abreu,Demente,"5' 11""",185 lbs.,--,Orthodox,5,1,0,,ricardo-abreu
Klidson,Abreu,White Bear,"6' 0""",205 lbs.,"74.0""",Orthodox,15,4,0,,klidson-abreu
Daniel,Acacio,,"5' 8""",180 lbs.,--,Orthodox,30,18,0,,daniel-acacio
John,Adajar,The Outlaw,"5' 9""",170 lbs.,"75.0""",Orthodox,6,2,0,,john-adajar
Scott,Adams,,"6' 0""",225 lbs.,--,Southpaw,8,1,0,,scott-adams
Juan,Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",Orthodox,5,3,0,,juan-adams
Anthony,Adams,Sugafoot,"6' 1""",185 lbs.,"76.0""",Orthodox,8,2,0,,anthony-adams
Zarrukh,Adashev,The Lion,"5' 5""",125 lbs.,"65.0""",Southpaw,4,4,0,,zarrukh-adashev
Israel,Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",Switch,23,2,0,,israel-adesanya
Sam,Adkins,The Experience,"6' 3""",225 lbs.,--,Orthodox,7,20,2,,sam-adkins
Nick,Agallar,,"5' 8""",155 lbs.,--,Orthodox,24,6,0,,nick-agallar
Mariya,Agapova,Demonslayer,"5' 6""",125 lbs.,"68.0""",Southpaw,10,4,0,,mariya-agapova
Marcelo,Aguiar,,"5' 10""",170 lbs.,--,Orthodox,2,3,1,,marcelo-aguiar
Fabio,Aguiar,,"6' 0""",185 lbs.,--,,17,1,0,,fabio-aguiar
Edwin,Aguilar,Tigre,"5' 10""",185 lbs.,--,,26,19,0,,edwin-aguilar
Jessica,Aguilar,Jag,"5' 3""",115 lbs.,"63.0""",Orthodox,20,8,0,,jessica-aguilar
Kevin,Aguilar,Angel of Death,"5' 7""",155 lbs.,"73.0""",Orthodox,17,5,0,,kevin-aguilar
Jesus,Aguilar,,"5' 4""",125 lbs.,"62.0""",Orthodox,8,2,0,,jesus-aguilar
Christian,Aguilera,The Beast,"5' 9""",170 lbs.,"72.0""",Switch,14,8,0,,christian-aguilera
Nick,Aguirre,Slick,"5' 9""",145 lbs.,"74.0""",Southpaw,7,1,0,,nick-aguirre
Mike,Aina,Iron,"5' 9""",155 lbs.,--,Orthodox,14,6,1,,mike-aina
Ashiek,Ajim,Peak Physique,"5' 8""",135 lbs.,"71.0""",Switch,6,2,0,,ashiek-ajim
Hitomi,Akano,Girlfight Monster,"5' 4""",135 lbs.,--,Southpaw,18,10,0,,hitomi-akano
Omari,Akhmedov,Wolverine,"6' 0""",185 lbs.,"73.0""",Orthodox,21,6,1,,omari-akhmedov
Yoshihiro,Akiyama,,"5' 10""",170 lbs.,"75.0""",Orthodox,14,6,0,,yoshihiro-akiyama
Rostem,Akman,,"5' 10""",170 lbs.,"72.0""",Switch,6,2,0,,rostem-akman
Razak,Al-Hassan,,"6' 2""",205 lbs.,--,Orthodox,13,5,0,,razak-al-hassan
Mostapha,Al-Turk,,"6' 2""",245 lbs.,"77.0""",Orthodox,6,6,0,,mostapha-al-turk
Herdem,Alacabek,,"6' 2""",205 lbs.,"75.0""",Orthodox,5,1,0,,herdem-alacabek
Javi,Alanis,,"5' 6""",135 lbs.,--,,0,4,0,,javi-alanis
,Alatengheili,The Mongolian Knight,"5' 5""",135 lbs.,"66.0""",Orthodox,16,8,2,,-alatengheili
Amir,Albazi,The Prince,"5' 5""",125 lbs.,"68.0""",Orthodox,16,1,0,,amir-albazi
Brett,Albee,,--,225 lbs.,--,,3,2,0,,brett-albee
John,Albert,Prince,"5' 8""",135 lbs.,"68.0""",Orthodox,6,5,0,,john-albert
Junior,Albini,Baby,"6' 3""",264 lbs.,"74.0""",Orthodox,14,6,0,,junior-albini
Wes,Albritton,,"5' 10""",188 lbs.,--,Orthodox,0,1,0,,wes-albritton
Aleksandra,Albu,Stitch,"5' 2""",115 lbs.,"63.0""",Orthodox,3,2,0,,aleksandra-albu
Israel,Albuquerque,,--,185 lbs.,--,Orthodox,0,3,0,,israel-albuquerque
Juan,Alcain,,--,--,--,,1,2,0,,juan-alcain
Iuri,Alcantara,Marajo,"5' 9""",135 lbs.,"71.0""",Southpaw,35,10,0,,iuri-alcantara
Ildemar,Alcantara,Marajo,"6' 2""",185 lbs.,"78.0""",Orthodox,21,11,0,,ildemar-alcantara
Alfonso,Alcarez,,"5' 3""",145 lbs.,--,,1,3,1,,alfonso-alcarez
Gilbert,Aldana,El Peligro,"6' 1""",250 lbs.,--,Orthodox,6,2,0,,gilbert-aldana
Irene,Aldana,,"5' 9""",135 lbs.,"68.0""",Orthodox,14,6,0,,irene-aldana
Hector,Aldana,,"5' 11""",170 lbs.,"72.0""",Orthodox,4,3,0,,hector-aldana
Jose,Alday,Pochito,"5' 7""",135 lbs.,"68.0""",Orthodox,14,6,1,,jose-alday
Jose,Aldo,,"5' 7""",135 lbs.,"70.0""",Orthodox,31,8,0,,jose-aldo
JJ,Aldrich,,"5' 5""",125 lbs.,"67.0""",Southpaw,11,6,0,,jj-aldrich
Irina,Alekseeva,Russian Ronda,"5' 8""",135 lbs.,--,,4,1,0,,irina-alekseeva
Jim,Alers,The Beast,"5' 9""",145 lbs.,"71.0""",Orthodox,13,3,0,,jim-alers
John,Alessio,The Natural,"5' 10""",155 lbs.,"72.0""",Orthodox,35,17,0,,john-alessio
Houston,Alexander,The Assassin,"6' 0""",205 lbs.,"72.0""",Orthodox,17,15,1,,houston-alexander
Kenneth,Alexander,The Machine,"5' 9""",155 lbs.,--,Orthodox,7,6,0,,kenneth-alexander
Lucas,Alexander,The Lion,"5' 11""",145 lbs.,"73.0""",Orthodox,8,3,0,,lucas-alexander
Marcio,Alexandre Junior,Lyoto,"6' 0""",185 lbs.,"75.0""",Southpaw,17,4,0,,marcio-alexandre junior
Olaf,Alfonso,,"6' 2""",170 lbs.,--,Orthodox,8,12,0,,olaf-alfonso
Pablo,Alfonso,The Hurricane,"5' 8""",145 lbs.,--,,9,7,0,,pablo-alfonso
Levi,Alford,,--,--,--,,1,7,0,,levi-alford
Bill,Algeo,Senor Perfecto,"6' 0""",145 lbs.,"73.0""",Switch,16,7,0,,bill-algeo
Royce,Alger,,"5' 10""",199 lbs.,--,Orthodox,3,2,0,,royce-alger
Amir,Aliakbari,,"6' 3""",250 lbs.,--,,10,1,0,,amir-aliakbari
Sultan,Aliev,,"5' 11""",170 lbs.,"74.0""",Orthodox,15,3,0,,sultan-aliev
Nurullo,Aliev,Tajik Eagle,"5' 10""",155 lbs.,"72.0""",Orthodox,9,0,0,,nurullo-aliev
Ikram,Aliskerov,,"6' 0""",185 lbs.,"76.0""",Southpaw,13,1,0,,ikram-aliskerov
Leon,Aliu,The Albanian Lion,"6' 0""",185 lbs.,"74.0""",Orthodox,10,2,0,,leon-aliu
John,Allan,,"6' 1""",205 lbs.,"75.0""",Orthodox,13,7,0,,john-allan
George,Allen,,"6' 2""",205 lbs.,--,Open Stance,13,19,2,,george-allen
Arnold,Allen,Almighty,"5' 8""",145 lbs.,"70.0""",Southpaw,19,1,0,,arnold-allen
Brendan,Allen,All In,"6' 2""",185 lbs.,"75.0""",Orthodox,21,5,0,,brendan-allen
Ben,Alloway,Blanco,"5' 11""",170 lbs.,"76.0""",Orthodox,18,8,0,,ben-alloway
Ricardo,Almeida,Big Dog,"6' 0""",170 lbs.,"74.0""",Orthodox,13,5,0,,ricardo-almeida
Magno,Almeida,,"6' 0""",155 lbs.,--,,10,3,0,,magno-almeida
Thomas,Almeida,Thominhas,"5' 7""",145 lbs.,"70.0""",Southpaw,22,5,0,,thomas-almeida
Ericka,Almeida,,"5' 6""",115 lbs.,--,Orthodox,7,3,0,,ericka-almeida
Estefani,Almeida,,"5' 4""",125 lbs.,--,Orthodox,7,3,0,,estefani-almeida
Jailton,Almeida,Malhadinho,"6' 3""",205 lbs.,"79.0""",Orthodox,18,2,0,,jailton-almeida
Lucas,Almeida,,"5' 11""",145 lbs.,"71.0""",Orthodox,14,1,0,,lucas-almeida
Mauricio,Alonso,,"6' 2""",170 lbs.,--,,13,7,0,,mauricio-alonso
Sarah,Alpar,Too Sweet,"5' 4""",135 lbs.,"63.0""",Southpaw,9,6,0,,sarah-alpar
Ali,AlQaisi,The Royal Fighter,"5' 6""",135 lbs.,"68.0""",Orthodox,8,5,0,,ali-alqaisi
Rico,Altamirano,,"5' 10""",170 lbs.,--,,4,3,0,,rico-altamirano
Victor,Altamirano,El Magnifico,"5' 8""",125 lbs.,"70.0""",Switch,12,2,0,,victor-altamirano
Mike,Altman,,"5' 10""",185 lbs.,--,Orthodox,1,4,0,,mike-altman
Sean,Alvarez,,"6' 0""",235 lbs.,--,Orthodox,4,3,0,,sean-alvarez
Eddie,Alvarez,,"5' 9""",155 lbs.,"69.0""",Orthodox,29,6,0,,eddie-alvarez
Jaime,Alvarez,,"5' 8""",125 lbs.,"69.0""",Orthodox,6,1,0,,jaime-alvarez
Joel,Alvarez,El Fenomeno,"6' 3""",155 lbs.,"77.0""",Orthodox,19,3,0,,joel-alvarez
Thiago,Alves,Pitbull,"5' 9""",170 lbs.,"70.0""",Orthodox,23,15,0,,thiago-alves
Anthony,Alves,,--,--,--,,1,4,0,,anthony-alves
Amilcar,Alves,,"6' 0""",170 lbs.,--,Southpaw,15,12,0,,amilcar-alves
Warlley,Alves,,"5' 11""",170 lbs.,"72.0""",Orthodox,15,6,0,,warlley-alves
Rafael,Alves,The Turn,"5' 8""",155 lbs.,"68.0""",Orthodox,20,12,0,,rafael-alves
Sam,Alvey,Smile'N,"6' 2""",185 lbs.,"75.0""",Southpaw,33,18,1,,sam-alvey
Andre,Amado,Dida,"6' 0""",154 lbs.,--,Orthodox,6,4,1,,andre-amado
Adlan,Amagov,Borz,"6' 2""",170 lbs.,"76.0""",Orthodox,14,2,1,,adlan-amagov
Maiara,Amanajas dos Santos,,"5' 5""",115 lbs.,--,Southpaw,7,3,0,,maiara-amanajas dos santos
Rayanne,Amanda,,"5' 2""",115 lbs.,"62.0""",Orthodox,11,6,0,,rayanne-amanda
Chris,Amarante,,--,185 lbs.,--,,2,0,0,,chris-amarante
Jimmy,Ambriz,The Titan,"6' 2""",315 lbs.,--,Southpaw,17,21,1,,jimmy-ambriz
JJ,Ambrose,,"5' 10""",170 lbs.,--,Orthodox,28,7,0,,jj-ambrose
Alen,Amedovski,,"5' 10""",185 lbs.,"74.0""",Orthodox,8,4,0,,alen-amedovski
Makwan,Amirkhani,Mr. Finland,"5' 10""",145 lbs.,"72.0""",Southpaw,17,9,0,,makwan-amirkhani
Jaqueline,Amorim,,"5' 3""",115 lbs.,--,,6,0,0,,jaqueline-amorim
Bertrand,Amoussou,,"5' 8""",190 lbs.,--,Orthodox,1,1,0,,bertrand-amoussou
Karl,Amoussou,The Psycho,"5' 11""",185 lbs.,--,Orthodox,27,7,2,,karl-amoussou
Eryk,Anders,Ya Boi,"6' 1""",185 lbs.,"75.0""",Southpaw,15,7,0,,eryk-anders
Matt,Andersen,,"6' 2""",230 lbs.,--,Southpaw,14,8,1,,matt-andersen
Andy,Anderson,The Hammer,"5' 6""",240 lbs.,--,,0,1,0,,andy-anderson
Lowell,Anderson,,"5' 6""",160 lbs.,--,Orthodox,0,1,0,,lowell-anderson
Corey,Anderson,Overtime,"6' 3""",205 lbs.,"79.0""",Orthodox,14,5,0,,corey-anderson
Derek,Anderson,Barbaric,"6' 0""",155 lbs.,--,,14,3,0,,derek-anderson
Megan,Anderson,,"6' 0""",145 lbs.,"72.0""",Orthodox,11,5,0,,megan-anderson
Tatsuya,Ando,,--,135 lbs.,--,,13,3,1,,tatsuya-ando
Alex,Andrade,El Toro,"5' 11""",200 lbs.,--,Orthodox,10,5,0,,alex-andrade
Jessica,Andrade,Bate Estaca,"5' 1""",115 lbs.,"62.0""",Orthodox,24,10,0,,jessica-andrade
Viscardi,Andrade,,"5' 11""",170 lbs.,"75.0""",Orthodox,19,6,0,,viscardi-andrade
Jermaine,Andre,,"5' 7""",200 lbs.,--,Orthodox,14,4,0,,jermaine-andre
Juan,Andres Luna,,"5' 7""",125 lbs.,"72.0""",Orthodox,12,1,0,,juan-andres luna
Dylan,Andrews,The Villain,"6' 1""",185 lbs.,"74.0""",Switch,18,7,0,,dylan-andrews
Reese,Andy,Riptide,"6' 0""",205 lbs.,--,Orthodox,7,3,0,,reese-andy
,Angga,The Hitman,"5' 7""",145 lbs.,"68.0""",Orthodox,13,3,0,,-angga
Julius,Anglickas,,"6' 3""",205 lbs.,--,Orthodox,5,1,0,,julius-anglickas
Collin,Anglin,,"5' 9""",145 lbs.,"71.0""",Orthodox,8,3,0,,collin-anglin
Chad,Anheliger,The Monster,"5' 6""",135 lbs.,"64.0""",Orthodox,12,6,0,,chad-anheliger
Yoji,Anjo,Mr. 200%,"5' 11""",205 lbs.,--,Orthodox,0,5,1,,yoji-anjo
Magomed,Ankalaev,,"6' 3""",205 lbs.,"75.0""",Orthodox,18,1,1,,magomed-ankalaev
Gadzhimurad,Antigulov,,"5' 11""",205 lbs.,"70.0""",Orthodox,20,8,0,,gadzhimurad-antigulov
Adam,Antolin,Captain Chaos,"5' 5""",125 lbs.,"63.0""",Orthodox,12,3,0,,adam-antolin
Angelo,Antonio,,--,205 lbs.,--,Orthodox,1,4,0,,angelo-antonio
Azunna,Anyanwu,Zulu,"6' 1""",251 lbs.,--,Orthodox,14,5,0,,azunna-anyanwu
Shinsho,Anzai,Animal,"5' 7""",170 lbs.,"70.0""",Orthodox,10,3,0,,shinsho-anzai
Shinya,Aoki,Tobikan Judan,"5' 11""",154 lbs.,--,Southpaw,39,7,0,,shinya-aoki
,Aoriqileng,The Mongolian Murderer,"5' 7""",135 lbs.,"69.0""",Orthodox,24,9,0,,-aoriqileng
Josh,Appelt,,"5' 10""",255 lbs.,--,Southpaw,15,7,0,,josh-appelt
Erik,Apple,,"6' 0""",170 lbs.,--,Orthodox,10,3,0,,erik-apple
Kenji,Arai,,"5' 10""",145 lbs.,--,Southpaw,15,15,5,,kenji-arai
Romie,Aram,,"5' 10""",170 lbs.,--,Orthodox,7,1,0,,romie-aram
Felipe,Arantes,Sertanejo,"5' 8""",135 lbs.,"73.0""",Orthodox,18,10,1,,felipe-arantes
Igor,Araujo,,"6' 1""",170 lbs.,"77.0""",Orthodox,25,9,0,,igor-araujo
Viviane,Araujo,Vivi,"5' 4""",125 lbs.,"68.0""",Orthodox,11,5,0,,viviane-araujo
Julio,Arce,,"5' 7""",135 lbs.,"70.0""",Southpaw,18,6,0,,julio-arce
Art,Arciniega,King Arthur,"5' 8""",145 lbs.,--,,15,7,0,,art-arciniega
Tristan,Arenal,,--,155 lbs.,--,,7,4,0,,tristan-arenal
Dan,Argueta,The Determined,"5' 7""",145 lbs.,"68.0""",Southpaw,9,1,0,,dan-argueta
Reza,Arianto,The Crazy Lion,--,155 lbs.,--,,5,0,0,,reza-arianto
Hashem,Arkhagha,,"6' 2""",185 lbs.,"75.0""",Orthodox,6,1,0,,hashem-arkhagha
Andrei,Arlovski,The Pitbull,"6' 3""",240 lbs.,"77.0""",Orthodox,34,21,0,,andrei-arlovski
Garrett,Armfield,,"5' 6""",135 lbs.,"70.0""",Orthodox,8,3,0,,garrett-armfield
Joey,Armstrong,,--,--,--,,5,2,0,,joey-armstrong
Austin,Arnett,,"6' 0""",145 lbs.,"72.0""",Orthodox,16,6,0,,austin-arnett
Ricardo,Arona,The Brazilian Tiger,"5' 11""",205 lbs.,--,Orthodox,14,5,0,,ricardo-arona
Chalid,Arrab,Die Faust,"5' 11""",205 lbs.,--,Orthodox,7,3,0,,chalid-arrab
Akbarh,Arreola,El Caballero,"5' 10""",155 lbs.,"71.0""",Southpaw,23,11,1,,akbarh-arreola
Matt,Arroyo,No Regard,"5' 10""",170 lbs.,"72.0""",Orthodox,3,3,0,,matt-arroyo
Antonio,Arroyo,,"6' 3""",185 lbs.,"73.0""",Orthodox,9,5,0,,antonio-arroyo
Gilles,Arsene,,"5' 9""",190 lbs.,--,Southpaw,1,1,0,,gilles-arsene
Veta,Arteaga,,"5' 7""",125 lbs.,--,,3,1,0,,veta-arteaga
Cesar,Arzamendia,Goku,"5' 11""",155 lbs.,--,Orthodox,8,3,0,,cesar-arzamendia
Teddy,Ash,Bear,"6' 1""",185 lbs.,"73.0""",Switch,14,5,0,,teddy-ash
Arman,Ashimov,Mustafa Ozturik,"5' 6""",125 lbs.,--,,11,3,1,,arman-ashimov
Yanal,Ashmouz,Red Fox,"5' 9""",155 lbs.,"68.0""",Orthodox,7,0,0,,yanal-ashmouz
,Asjabharan,,"5' 6""",135 lbs.,--,,7,6,0,,-asjabharan
Askar,Askar,AK-47,"5' 7""",145 lbs.,"69.0""",Orthodox,11,1,0,,askar-askar
Askar,Askarov,Bullet,"5' 6""",125 lbs.,"67.0""",Orthodox,14,1,1,,askar-askarov
Cyril,Asker,Silverback,"6' 0""",247 lbs.,"74.0""",Orthodox,9,4,0,,cyril-asker
Khusein,Askhabov,Nohcho,"5' 8""",135 lbs.,"69.0""",Orthodox,23,1,0,,khusein-askhabov
Scott,Askham,,"6' 3""",185 lbs.,"75.0""",Southpaw,14,4,0,,scott-askham
Ben,Askren,Funky,"5' 11""",170 lbs.,"73.0""",Orthodox,19,2,0,,ben-askren
Ibo,Aslan,The Last Ottoman,"6' 3""",205 lbs.,--,,8,0,0,,ibo-aslan
Tom,Aspinall,,"6' 5""",256 lbs.,"78.0""",Orthodox,12,3,0,,tom-aspinall
Bruno,Assis,Brunao,"6' 2""",185 lbs.,--,Orthodox,8,4,0,,bruno-assis
Junior,Assuncao,,"5' 9""",145 lbs.,"72.0""",Orthodox,16,6,0,,junior-assuncao
Raphael,Assuncao,,"5' 5""",135 lbs.,"66.0""",Orthodox,28,10,0,,raphael-assuncao
Bazigit,Atajev,Volk,"6' 1""",230 lbs.,--,Orthodox,17,1,0,,bazigit-atajev
Rich,Attonito,The Raging Bull,"5' 10""",170 lbs.,"72.0""",Orthodox,10,5,0,,rich-attonito
Olivier,Aubin-Mercier,The Canadian Gangster,"5' 9""",155 lbs.,"70.0""",Southpaw,11,5,0,,olivier-aubin-mercier
Pat,Audinwood,Awesomely Awesome,"6' 0""",155 lbs.,--,Orthodox,11,2,1,,pat-audinwood
Jose,Augusto,Gugu,"6' 3""",251 lbs.,--,,6,2,0,,jose-augusto
Marcus,Aurelio,Maximus,"5' 10""",155 lbs.,"74.0""",Orthodox,22,10,0,,marcus-aurelio
David,Avellan,,"5' 9""",185 lbs.,--,Orthodox,2,1,0,,david-avellan
Blas,Avena,The Disciple,"6' 0""",170 lbs.,"74.0""",Orthodox,8,7,0,,blas-avena
Levi,Avera,,"6' 1""",170 lbs.,--,,18,15,0,,levi-avera
Anthony,Avila,,"5' 7""",145 lbs.,--,,13,5,0,,anthony-avila
Chris,Avila,,"5' 10""",145 lbs.,--,Orthodox,5,4,0,,chris-avila
Julia,Avila,Raging Panda,"5' 7""",135 lbs.,"68.0""",Orthodox,9,2,0,,julia-avila
Saad,Awad,Assassin,"5' 11""",155 lbs.,--,,20,9,0,,saad-awad
Javy,Ayala,Eye Candy,"6' 1""",265 lbs.,--,,10,5,0,,javy-ayala
Jessin,Ayari,,"6' 0""",155 lbs.,"73.0""",Orthodox,16,6,0,,jessin-ayari
Abu,Azaitar,Captain Morocco,"5' 9""",185 lbs.,"76.0""",Orthodox,14,3,1,,abu-azaitar
Ottman,Azaitar,Bulldozer,"5' 8""",155 lbs.,"71.0""",Switch,13,1,0,,ottman-azaitar
Luiz,Azeredo,,"5' 9""",154 lbs.,--,Orthodox,15,10,0,,luiz-azeredo
Luciano,Azevedo,,"6' 3""",161 lbs.,--,Orthodox,17,9,1,,luciano-azevedo
Hunter,Azure,,"5' 8""",145 lbs.,"69.0""",Orthodox,9,2,0,,hunter-azure
Niklas,Backstrom,,"6' 1""",145 lbs.,--,Orthodox,11,3,0,,niklas-backstrom
Seth,Baczynski,The Polish Pistola,"6' 3""",170 lbs.,"75.0""",Orthodox,20,14,0,,seth-baczynski
Abdul Azeem,Badakhshi,The Afghan Lion,--,145 lbs.,--,,13,3,0,,abdul azeem-badakhshi
Ryan,Bader,Darth,"6' 2""",205 lbs.,"74.0""",Orthodox,23,5,0,,ryan-bader
Izabela,Badurek,,"5' 5""",115 lbs.,--,Orthodox,6,3,0,,izabela-badurek
Miguel,Baeza,Caramel Thunder,"6' 2""",170 lbs.,"74.0""",Orthodox,10,3,0,,miguel-baeza
Ali,Bagautinov,Puncher,"5' 4""",125 lbs.,"65.0""",Orthodox,15,6,0,,ali-bagautinov
Mehdi,Baghdad,The Sultan,"6' 1""",155 lbs.,--,Orthodox,11,5,0,,mehdi-baghdad
Melsik,Baghdasaryan,The Gun,"5' 9""",145 lbs.,"70.0""",Southpaw,7,2,0,,melsik-baghdasaryan
Siyar,Bahadurzada,The Great,"5' 11""",170 lbs.,"73.0""",Orthodox,24,8,1,,siyar-bahadurzada
Ignacio,Bahamondes,La Jaula,"6' 3""",155 lbs.,"75.0""",Orthodox,13,4,0,,ignacio-bahamondes
Shamar,Bailey,,"5' 9""",155 lbs.,"75.0""",Southpaw,16,11,0,,shamar-bailey
Jordan,Bailey,,"5' 9""",145 lbs.,--,,6,3,0,,jordan-bailey
Scott,Baker,,"6' 0""",210 lbs.,--,,1,1,0,,scott-baker
Bryan,Baker,The Beast,"6' 3""",185 lbs.,--,Orthodox,18,5,0,,bryan-baker
Jin,Bala,,"5' 9""",155 lbs.,--,,23,3,0,,jin-bala
,Balajin,The Snow Leopard,"5' 9""",145 lbs.,"72.0""",Orthodox,23,4,0,,-balajin
Oluwale,Bamgbose,Holy War Angel,"5' 11""",185 lbs.,"78.0""",Switch,6,4,0,,oluwale-bamgbose
Stephen,Banaszak,,"6' 0""",145 lbs.,--,,5,5,0,,stephen-banaszak
Marcin,Bandel,Bomba,"5' 10""",155 lbs.,--,Orthodox,15,7,0,,marcin-bandel
Humberto,Bandenay,,"5' 11""",145 lbs.,"71.0""",Southpaw,14,7,0,,humberto-bandenay
Tae Hyun,Bang,Supernatural,"5' 9""",155 lbs.,"71.0""",Switch,18,10,0,,tae hyun-bang
Yohan,Banks,,--,--,--,,2,1,0,,yohan-banks
Antonio,Banuelos,,"5' 5""",135 lbs.,"63.0""",Orthodox,20,11,1,,antonio-banuelos
Renan,Barao,The Baron,"5' 6""",145 lbs.,"70.0""",Orthodox,34,9,0,,renan-barao
Junior,Barata,,"5' 10""",170 lbs.,--,Orthodox,9,3,1,,junior-barata
Maycee,Barber,The Future,"5' 5""",125 lbs.,"65.0""",Switch,12,2,0,,maycee-barber
Bryan,Barberena,Bam Bam,"6' 0""",170 lbs.,"72.0""",Southpaw,18,10,0,,bryan-barberena
Edson,Barboza,Junior,"5' 11""",145 lbs.,"75.0""",Orthodox,22,11,0,,edson-barboza
Raoni,Barcelos,,"5' 7""",135 lbs.,"67.0""",Orthodox,17,4,0,,raoni-barcelos
Daniel,Barez,,"5' 6""",125 lbs.,"66.0""",Orthodox,12,5,0,,daniel-barez
Luke,Barnatt,The Bigslow,"6' 6""",185 lbs.,"77.0""",Orthodox,13,4,0,,luke-barnatt
James,Barnes,Mooka,"5' 8""",135 lbs.,"71.0""",Orthodox,14,5,0,,james-barnes
Nick,Barnes,,"5' 11""",170 lbs.,--,,11,2,0,,nick-barnes
Shonte,Barnes,Shyne,"5' 11""",185 lbs.,"76.0""",Southpaw,6,2,1,,shonte-barnes
Josh,Barnett,The Warmaster,"6' 3""",250 lbs.,"78.0""",Orthodox,35,8,0,,josh-barnett
Chris,Barnett,Beastboy,"5' 9""",265 lbs.,"75.0""",Orthodox,23,8,0,,chris-barnett
Chris,Barnhizer,,--,--,--,,2,3,0,,chris-barnhizer
David,Baron,,"5' 6""",155 lbs.,--,Switch,17,4,1,,david-baron
Phil,Baroni,The New York Bad Ass,"5' 9""",170 lbs.,"72.0""",Orthodox,15,18,0,,phil-baroni
Dan,Barrera,The Fireman,"5' 9""",170 lbs.,--,Orthodox,3,1,0,,dan-barrera
Carlos,Barreto,,"6' 4""",230 lbs.,--,Orthodox,14,9,0,,carlos-barreto
Jose,Barreto,,--,185 lbs.,--,Southpaw,0,1,0,,jose-barreto
Peter,Barrett,Slippery,"5' 10""",145 lbs.,"73.0""",Southpaw,11,5,0,,peter-barrett
Marc-Andre,Barriault,Powerbar,"6' 1""",185 lbs.,"74.0""",Orthodox,15,6,0,,marc-andre-barriault
David,Barrios,,"5' 6""",145 lbs.,--,,4,8,0,,david-barrios
Alexandre,Barros,Baixinho,"5' 9""",170 lbs.,--,Southpaw,22,11,0,,alexandre-barros
Ricardo,Barros,,"6' 1""",205 lbs.,--,,2,2,0,,ricardo-barros
Francimar,Barroso,Bodao,"6' 1""",205 lbs.,"75.0""",Orthodox,19,7,0,,francimar-barroso
Pat,Barry,HD,"5' 11""",235 lbs.,"74.0""",Orthodox,8,7,0,,pat-barry
Dean,Barry,The Sniper,"5' 10""",170 lbs.,"72.0""",Orthodox,4,2,0,,dean-barry
Enrique,Barzola,El Fuerte,"5' 7""",145 lbs.,"70.0""",Orthodox,17,5,2,,enrique-barzola
Javid,Basharat,The Snow Leopard,"5' 9""",135 lbs.,"69.0""",Orthodox,14,0,0,,javid-basharat
Farid,Basharat,Ferocious,"5' 8""",135 lbs.,"71.0""",Orthodox,10,0,0,,farid-basharat
Stephen,Bass,Bigfish,"5' 9""",145 lbs.,--,Orthodox,11,2,0,,stephen-bass
Sean,Bassett,,--,155 lbs.,--,,0,4,0,,sean-bassett
Ryan,Bastianelli,Relentless,"5' 5""",135 lbs.,--,,6,7,0,,ryan-bastianelli
Shayna,Baszler,The Queen of Spades,"5' 7""",135 lbs.,--,Orthodox,15,11,0,,shayna-baszler
Bahatebole,Batebolati,,--,170 lbs.,--,,7,1,1,,bahatebole-batebolati
Michel,Batista,,"6' 3""",260 lbs.,--,Orthodox,4,1,0,,michel-batista
Bryan,Battle,Pooh Bear,"6' 1""",170 lbs.,"77.0""",Orthodox,9,2,0,,bryan-battle
Alan,Baudot,The Black Samourai,"6' 3""",243 lbs.,"79.0""",Orthodox,8,4,0,,alan-baudot
Mario,Bautista,,"5' 9""",135 lbs.,"69.0""",Switch,12,2,0,,mario-bautista
Chris,Beal,Real Deal,"5' 7""",125 lbs.,"69.0""",Orthodox,10,5,0,,chris-beal
Donovan,Beard,The Highlight Reel,"6' 2""",185 lbs.,"78.0""",Orthodox,7,2,0,,donovan-beard
Rudy,Bears,,"5' 11""",170 lbs.,--,Southpaw,16,15,0,,rudy-bears
Salvador,Becerra,,"5' 9""",155 lbs.,--,,5,2,0,,salvador-becerra
Ariel,Beck,,"5' 6""",125 lbs.,"66.0""",Southpaw,4,5,0,,ariel-beck
