First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,
Ben,Jones,Blitzkrieg,--,185 lbs.,--,,4,4,0,,ben-jones
Victor,Jones,,--,145 lbs.,--,,1,3,0,,victor-jones
Chris,Jones,Lionheart,"5' 9""",149 lbs.,--,,10,5,0,,chris-jones
Roshaun,Jones,,"5' 8""",135 lbs.,--,,2,6,0,,roshaun-jones
Jamelle,Jones,The Beast,"6' 0""",205 lbs.,"75.0""",Orthodox,7,5,0,,jamelle-jones
Antonio,Jones,Doomsday,"5' 11""",185 lbs.,--,Orthodox,6,1,0,,antonio-jones
Trevin,Jones,5 Star,"5' 7""",135 lbs.,"70.0""",Southpaw,13,10,0,,trevin-jones
Mason,Jones,Dragon,"5' 10""",155 lbs.,"74.0""",Orthodox,11,2,0,,mason-jones
Jocelyn,Jones-Lybarger,,"5' 7""",115 lbs.,"64.0""",Orthodox,6,4,0,,jocelyn-jones-lybarger
Kevin,Jordan,The Shaman,"6' 3""",245 lbs.,--,Orthodox,11,9,0,,kevin-jordan
Joe,Jordan,,"5' 6""",155 lbs.,--,Orthodox,49,14,2,,joe-jordan
Shawn,Jordan,The Savage,"6' 0""",260 lbs.,"75.0""",Southpaw,19,8,0,,shawn-jordan
Ivan,Jorge,Batman,"5' 9""",155 lbs.,"73.0""",Orthodox,27,7,0,,ivan-jorge
Scott,Jorgensen,Young Guns,"5' 5""",135 lbs.,"66.0""",Orthodox,15,12,0,,scott-jorgensen
Gareth,Joseph,,--,205 lbs.,--,,9,5,0,,gareth-joseph
Dwight,Joseph,,"5' 6""",135 lbs.,--,Switch,5,0,0,,dwight-joseph
Jeff,Joslin,The Inferno,"6' 0""",170 lbs.,--,Orthodox,5,3,0,,jeff-joslin
Krzysztof,Jotko,,"6' 1""",185 lbs.,"77.0""",Southpaw,24,6,0,,krzysztof-jotko
Alan,Jouban,Brahma,"6' 0""",170 lbs.,"73.0""",Southpaw,17,7,0,,alan-jouban
Charles,Jourdain,Air,"5' 9""",145 lbs.,"69.0""",Switch,13,6,1,,charles-jourdain
Mike,Joy,,"5' 6""",155 lbs.,--,Southpaw,11,8,0,,mike-joy
Dustin,Joynson,,"6' 6""",244 lbs.,"78.0""",Orthodox,5,0,0,,dustin-joynson
Tony,Juarez,,--,155 lbs.,--,,1,12,0,,tony-juarez
Jesse,Juarez,,"6' 1""",170 lbs.,--,Orthodox,23,12,0,,jesse-juarez
Anshul,Jubli,King of Lions,"6' 0""",155 lbs.,"69.0""",Switch,7,0,0,,anshul-jubli
Steve,Judson,,"5' 11""",230 lbs.,--,Orthodox,0,2,0,,steve-judson
Luke,Jumeau,The Jedi,"5' 11""",170 lbs.,"72.0""",Orthodox,13,5,0,,luke-jumeau
Bu-Kyung,Jung,,"5' 7""",154 lbs.,--,Orthodox,0,4,0,,bu-kyung-jung
