fighter_name,Height,Weight,Reach,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,fighting_style
Jessamyn Duke,"5' 11""",135 lbs.,"73""",Orthodox,24-Jun-86,4.83,53%,4.43,57%,1.27,36%,50%,1.9,
Adin Duenas,"5' 6""",145 lbs.,,,02-Jul-88,0,0%,0,0%,0,0%,0%,0,
Joe Duffy,"5' 10""",155 lbs.,"73""",Orthodox,18-Feb-88,2.68,34%,3.78,54%,0.96,66%,64%,0.7,
Milana Dudieva,"5' 3""",135 lbs.,,Orthodox,04-Aug-89,0.87,31%,3.43,58%,2.34,45%,0%,0,
Todd Duffee,"6' 3""",260 lbs.,"78""",Orthodox,06-Dec-85,5.93,37%,2.87,56%,0.72,25%,90%,0,
Alexis Dufresne,"5' 9""",135 lbs.,,Orthodox,31-Aug-90,1.33,27%,3.33,60%,1.5,50%,50%,0,
Kelly Dullanty,"5' 8""",155 lbs.,,Orthodox,04-Nov-77,0,0%,0.67,75%,0,0%,66%,0,
Alex Dunworth,"5' 8""",155 lbs.,,,,1.94,31%,8.71,35%,0,0%,50%,0,
Cody Durden,"5' 7""",125 lbs.,"67""",Southpaw,29-Mar-91,3.11,48%,3.93,41%,3.28,26%,50%,0.8,
Luiz Dutra,"5' 11""",170 lbs.,,Orthodox,06-May-82,3.92,50%,4.8,41%,0,0%,100%,0,
Reuben Duran,"5' 7""",135 lbs.,"71""",Orthodox,02-Jul-83,3.19,49%,2.61,50%,0.98,23%,25%,0.7,
Rilley Dutro,"5' 8""",125 lbs.,,Orthodox,03-Sep-87,4.74,54%,5.95,33%,0,0%,83%,0,
Tom Duquesnoy,"5' 7""",135 lbs.,"68""",Orthodox,21-Jun-93,3.83,45%,5.3,62%,0.42,25%,46%,0,
Evan Dunham,"5' 10""",155 lbs.,"70""",Southpaw,18-Dec-81,5.33,39%,3.54,61%,1.82,33%,79%,1,
Bill Duvall,"6' 2""",185 lbs.,,Southpaw,,0,0%,2.4,40%,0,0%,0%,0,
David Dvorak,"5' 5""",125 lbs.,"68""",Orthodox,05-Jun-92,4.5,48%,3.17,63%,0,0%,75%,0,
Matt Dwyer,"6' 4""",170 lbs.,"76""",Orthodox,17-Dec-89,2.57,34%,3.24,54%,0.44,10%,60%,0,
Merab Dvalishvili,"5' 6""",135 lbs.,"68""",Orthodox,10-Jan-91,3.91,39%,2.08,61%,7.71,43%,80%,0.3,
Ben Earwood,"5' 8""",170 lbs.,,Orthodox,,0.5,55%,0.2,33%,3,100%,0%,0,
Rolando Dy,"5' 8""",145 lbs.,"69""",Orthodox,11-Aug-90,3.04,37%,4.47,52%,0.3,20%,68%,0,
Cody East,"6' 3""",245 lbs.,,Orthodox,29-Jun-88,4.15,43%,7.32,40%,3.97,100%,16%,0,
Mike Easton,"5' 6""",135 lbs.,"70""",Southpaw,25-Jan-84,3.51,37%,4.28,61%,0.75,22%,66%,0,
Marvin Eastman,"5' 9""",185 lbs.,"73""",Orthodox,08-Jun-71,2.21,35%,3.92,42%,1.38,33%,81%,0,
Vincent Eazelle,"5' 11""",155 lbs.,,,07-Dec-80,0,0%,0,0%,0,0%,0%,0,
Maurice Eazel,"5' 7""",135 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Brian Ebersole,"6' 0""",170 lbs.,"73""",Southpaw,27-Nov-80,2.32,49%,2.14,56%,1.7,23%,61%,0.1,
Ross Ebanez,"5' 9""",154 lbs.,,Southpaw,18-May-75,0.74,50%,0.74,62%,3.7,100%,0%,0,
Mark Eddiva,"5' 8""",145 lbs.,"68""",Orthodox,16-Feb-86,3.37,45%,2.98,54%,1.45,22%,63%,0,
Johnny Eduardo,"5' 7""",135 lbs.,"71""",Orthodox,03-Aug-78,2.89,38%,3.34,63%,0,0%,62%,0.5,
Abdul-Kerim Edilov,"6' 2""",205 lbs.,,Orthodox,25-Nov-91,10.22,61%,0.13,92%,3.98,100%,0%,2,
Frankie Edgar,"5' 6""",135 lbs.,"68""",Orthodox,16-Oct-81,3.7,39%,2.71,66%,2.28,31%,65%,0.3,
Adli Edwards,,145 lbs.,,,28-Aug-89,0,0%,0,0%,0,0%,0%,0,
Stephanie Egger,"5' 6""",135 lbs.,"68""",Orthodox,12-Aug-88,0.67,31%,1.33,52%,1,16%,40%,0,
Tom Egan,"5' 11""",170 lbs.,,Orthodox,,0,0%,3.91,50%,0,0%,28%,0,
Joselyne Edwards,"5' 8""",135 lbs.,"70""",Orthodox,29-Sep-95,4.2,53%,3.83,46%,0.5,16%,37%,0.5,
Te Edwards,"5' 8""",155 lbs.,"72""",Orthodox,11-Sep-90,1.5,41%,4.15,44%,0.72,100%,44%,0,
Justin Edwards,"5' 10""",155 lbs.,"70""",Orthodox,26-Jan-83,2.68,42%,3.32,51%,2.14,26%,27%,1,
Leon Edwards,"6' 2""",170 lbs.,"74""",Southpaw,25-Aug-91,2.56,47%,2.03,55%,1.35,30%,70%,0.4,
Yves Edwards,"5' 9""",155 lbs.,"73""",Southpaw,30-Sep-76,2.91,42%,2.34,66%,0.76,53%,69%,0.7,
John Elam,,,,,,0,0%,0,0%,0,0%,0%,0,
Jon Olav Einemo,"6' 6""",253 lbs.,,Orthodox,10-Dec-75,2.15,52%,3.05,52%,1.73,55%,43%,0,
John Paul Elias,"6' 4""",205 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Per Eklund,"5' 10""",155 lbs.,"72""",Orthodox,,2.07,61%,2.38,67%,2.07,11%,50%,3.6,
Saul Elizondo,"5' 7""",135 lbs.,,,17-Jul-85,2.07,30%,4.93,48%,2,100%,66%,1,
Justin Eilers,"6' 1""",235 lbs.,,Orthodox,28-Jun-78,2.86,43%,5.66,49%,0.82,25%,50%,0,
Jake Ellenberger,"5' 9""",170 lbs.,"71""",Orthodox,28-Mar-85,2.47,39%,2.83,60%,2.04,47%,86%,0.4,
Darren Elkins,"5' 10""",145 lbs.,"71""",Orthodox,16-May-84,3.5,38%,3.08,52%,2.7,33%,58%,1.2,
Joe Ellenberger,"5' 9""",155 lbs.,"72""",Orthodox,28-Mar-85,1.62,47%,3.45,48%,3.17,40%,0%,1.1,
Eddy Ellis,"5' 9""",170 lbs.,,Orthodox,,3.4,69%,1.53,68%,4,66%,50%,2,
Cameron Else,"5' 9""",135 lbs.,"71""",Switch,27-Apr-87,1.92,36%,5.58,58%,0,0%,0%,0,
Lisa Ellis,"5' 4""",115 lbs.,,,15-Nov-82,1.68,48%,2.32,57%,4.19,63%,50%,0.6,
Anna Elmose,"5' 3""",115 lbs.,,Orthodox,06-Oct-84,3.68,49%,4.64,56%,0,0%,33%,0,
Tim Elliott,"5' 7""",125 lbs.,"66""",Southpaw,24-Dec-86,3.35,45%,2.49,59%,4.01,49%,58%,1.1,
Aaron Ely,"5' 8""",135 lbs.,,,18-Mar-89,0.82,15%,0.66,69%,2.47,100%,50%,4.9,
Sovannahry Em,"5' 4""",135 lbs.,,,26-Jun-92,0,0%,0,0%,0,0%,0%,0,
Aleksander Emelianenko,"6' 6""",255 lbs.,,Orthodox,02-Aug-81,2.75,41%,1.7,65%,2.32,72%,66%,0.9,
Rob Emerson,"5' 9""",155 lbs.,"70""",Orthodox,30-Jul-81,2.5,30%,2.83,64%,2.02,52%,65%,0.4,
Ramazan Emeev,"5' 10""",170 lbs.,"76""",Southpaw,23-May-87,2.5,45%,1.98,66%,2.33,29%,66%,0.5,
Josh Emmett,"5' 6""",145 lbs.,"70""",Orthodox,04-Mar-85,4.32,39%,4.02,63%,1.43,47%,50%,0.1,
Jamall Emmers,"5' 10""",145 lbs.,"74""",Orthodox,24-Jul-89,5.75,52%,4.65,54%,2.9,53%,100%,0,
Fedor Emelianenko,"6' 0""",230 lbs.,"74""",Orthodox,28-Sep-76,3.18,51%,1,63%,2,63%,82%,1.9,
Kevin Engel,"6' 2""",170 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Marius Enache,"5' 11""",155 lbs.,,,16-Oct-75,1.71,34%,0.66,84%,3.94,100%,0%,3.9,
Oliver Enkamp,"6' 0""",170 lbs.,"77""",Switch,10-Aug-91,2.38,36%,3.55,37%,0.87,16%,0%,0,
Alex Enlund,"5' 10""",145 lbs.,,Orthodox,27-May-87,0,0%,0,0%,0,0%,0%,0,
Ian Entwistle,"5' 5""",135 lbs.,,Orthodox,19-Nov-86,0.11,7%,7.36,31%,0,0%,0%,12.1,
Kenny Ento,"6' 2""",192 lbs.,,,,8.41,79%,0,100%,5.49,100%,0%,11,
Won Jin Eoh,"5' 7""",160 lbs.,,Orthodox,,3.74,44%,3.58,46%,0,0%,50%,0,
Andy Enz,"6' 3""",185 lbs.,"78""",Orthodox,15-Aug-91,3.51,23%,5.32,57%,0,0%,58%,0,
Josh Epps,,130 lbs.,,,23-Aug-86,0,0%,0,0%,0,0%,0%,0,
Tom Erikson,"6' 3""",280 lbs.,,Orthodox,,0.94,47%,1.87,25%,4.68,60%,100%,6.2,
Konstantin Erokhin,"5' 11""",230 lbs.,,Orthodox,31-Jan-83,1.07,36%,1.83,47%,0,0%,70%,0,
Julian Erosa,"6' 1""",145 lbs.,"74""",Southpaw,31-Jul-89,5.07,47%,5.72,50%,1.32,54%,58%,0.9,
Nick Ertl,"5' 9""",155 lbs.,,,,1.34,69%,1.59,41%,1.88,50%,0%,0,
Chel Erwin-Davis,"6' 0""",170 lbs.,,,,4.06,54%,1.13,61%,4.25,100%,50%,1.4,
Bobby Escalante,,130 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Eric Esch,"5' 11""",350 lbs.,,Orthodox,03-Aug-68,3.07,71%,1.74,43%,0,0%,0%,2,
Pro Escobedo,,205 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Cole Escovedo,"5' 7""",135 lbs.,"72""",Orthodox,30-Aug-81,1.77,43%,4.32,49%,0.43,33%,13%,0,
Evan Esguerra,,145 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Efrain Escudero,"5' 9""",155 lbs.,"71""",Orthodox,15-Jan-86,2.92,44%,2.3,63%,1.31,40%,66%,0.8,
Carla Esparza,"5' 1""",115 lbs.,"63""",Orthodox,10-Oct-87,2.29,42%,2.85,53%,3.44,35%,48%,0.3,
Juan Espino,"6' 3""",250 lbs.,"80""",,09-Oct-80,4.32,80%,0.54,42%,14.19,77%,0%,6.1,
Jodie Esquibel,"5' 1""",115 lbs.,"64""",Orthodox,07-May-86,4.1,31%,7.37,52%,0.75,21%,83%,0,
Jordan Espinosa,"5' 6""",125 lbs.,"69""",Orthodox,08-Nov-89,4.22,52%,2.94,57%,0.75,28%,70%,0.2,
Fred Ettish,"6' 0""",180 lbs.,,Southpaw,,0,0%,0,0%,0,0%,0%,0,
Terry Etim,"6' 1""",155 lbs.,"73""",Orthodox,11-Jan-86,2.16,35%,2.53,67%,0.43,30%,39%,1.4,
Scott Ettling,,135 lbs.,,,,0,0%,0.54,83%,8.04,100%,0%,0,
Sijara Eubanks,"5' 4""",135 lbs.,"67""",Orthodox,27-Apr-85,4.52,43%,3.69,57%,1.88,46%,65%,0.4,
Billy Evangelista,"5' 8""",155 lbs.,"68""",Orthodox,07-Oct-80,4.51,40%,3.96,61%,1.6,19%,61%,0.2,
Rashad Evans,"6' 0""",205 lbs.,"75""",Orthodox,25-Sep-79,2.14,37%,2.42,63%,2.98,44%,73%,0,
Doug Evans,"5' 9""",155 lbs.,,Orthodox,10-Oct-80,1.79,35%,2.55,55%,3.19,83%,69%,0.6,
Ashlee Evans-Smith,"5' 8""",135 lbs.,"67""",Orthodox,09-Jul-87,4.54,34%,4.69,55%,1.1,23%,66%,0,
Dan Evensen,"6' 3""",250 lbs.,,Orthodox,01-Jun-74,0.27,10%,3.86,38%,0,0%,0%,4,
Tonya Evinger,"5' 7""",135 lbs.,"70""",Orthodox,04-Jun-81,1.16,42%,4.02,38%,0.93,30%,33%,0.9,
Andre Ewell,"5' 8""",135 lbs.,"75""",Southpaw,21-Jan-88,4.42,41%,4.25,52%,0.29,66%,70%,0.1,
Movsar Evloev,"5' 7""",145 lbs.,"72""",Orthodox,11-Feb-94,4.7,44%,2.83,64%,2.75,37%,70%,0,
Neal Ewing,,185 lbs.,,,30-Sep-85,2.27,60%,1.93,48%,5,62%,0%,0,
Edward Faaloloto,,155 lbs.,"70""",,15-Jul-84,2.28,32%,6.25,44%,1.01,25%,33%,0,
Jessica Eye,"5' 6""",125 lbs.,"66""",Orthodox,27-Jul-86,3.76,37%,4.01,55%,0.45,40%,57%,0.5,
Wagnney Fabiano,"5' 6""",145 lbs.,"69""",Southpaw,14-Jul-75,1.19,38%,0.66,70%,3.44,64%,100%,0.4,
Melinda Fabian,"5' 6""",125 lbs.,"66""",,25-Jun-87,4.03,41%,4,62%,0,0%,100%,0,
Urijah Faber,"5' 6""",135 lbs.,"67""",Orthodox,14-May-79,2.65,40%,2.59,64%,1.54,30%,58%,0.8,
Ron Faircloth,"5' 9""",205 lbs.,,Orthodox,16-Aug-79,0.39,40%,8.9,42%,0,0%,0%,0,
Jason Fairn,"6' 1""",230 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Bartosz Fabinski,"6' 0""",170 lbs.,"75""",Orthodox,26-Apr-86,2.2,69%,1.35,53%,7.08,69%,80%,0,
Rinat Fakhretdinov,"6' 0""",185 lbs.,,,28-Sep-91,0,0%,0,0%,0,0%,0%,0,
Zarah Fairn,"5' 8""",145 lbs.,"72""",Orthodox,12-Dec-86,1.98,45%,6.61,39%,0,0%,50%,0,
Maiquel Falcao,"5' 11""",185 lbs.,,Orthodox,08-Mar-81,1.67,55%,0.53,86%,1,100%,71%,3,
Brodie Farber,"6' 1""",170 lbs.,,Orthodox,05-Jul-80,1.69,45%,2.17,53%,0.9,50%,20%,0.9,
Joao Paulo Faria,"5' 9""",155 lbs.,,,,6.69,64%,2.09,85%,1.25,50%,0%,1.2,
Chance Farrar,"5' 9""",145 lbs.,,Southpaw,11-Sep-75,0.81,22%,2.21,67%,3.02,100%,0%,0,
Rico Farrington,"6' 4""",170 lbs.,"79""",Southpaw,19-Jun-89,6.33,41%,7.2,51%,0,0%,20%,0,
Kalindra Faria,"5' 7""",125 lbs.,,Switch,23-Jul-86,2.23,56%,1.44,45%,1.31,66%,20%,0.7,
Kelly Faszholz,"5' 8""",135 lbs.,,Orthodox,09-Apr-85,4.01,48%,3.61,52%,0,0%,44%,0,
Rodney Faverus,"6' 0""",215 lbs.,,Southpaw,,2.3,53%,1.6,54%,4.5,100%,25%,0,
Carlos Felipe,"6' 0""",245 lbs.,"75""",Orthodox,12-Jan-95,4.42,45%,4.6,47%,0,0%,70%,0,
Paul Felder,"5' 11""",155 lbs.,"70""",Orthodox,25-Apr-84,3.7,44%,3.44,48%,0.29,28%,64%,0.2,
Kevin Ferguson,"6' 2""",235 lbs.,"77""",Orthodox,08-Feb-74,2.3,50%,3.41,38%,3.1,72%,36%,1.2,
JP Felty,,170 lbs.,,,28-Apr-79,0,0%,0,0%,0,0%,0%,0,
Josh Ferguson,"5' 5""",125 lbs.,,Orthodox,13-May-88,2.13,43%,4.18,32%,0.59,11%,54%,0,
Rhadi Ferguson,"5' 7""",205 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Tony Ferguson,"5' 11""",155 lbs.,"76""",Orthodox,12-Feb-84,5.46,45%,3.94,59%,0.45,42%,70%,1.1,
CJ Fernandes,"6' 2""",170 lbs.,,,13-Nov-77,0,0%,0,0%,0,0%,0%,0,
Bibiano Fernandes,"5' 7""",139 lbs.,,Orthodox,30-Mar-80,2.91,40%,2.02,72%,3.97,53%,77%,0.6,
Alexandre Ferreira,"5' 7""",205 lbs.,,Orthodox,25-Apr-79,2.57,60%,8.14,42%,0,0%,0%,0,
Cezar Ferreira,"6' 1""",185 lbs.,"78""",Southpaw,15-Feb-85,1.9,42%,2.44,53%,2.69,53%,84%,0.5,
Diego Ferreira,"5' 9""",155 lbs.,"74""",Orthodox,18-Jan-85,4.85,37%,3.26,58%,0.89,26%,68%,0.9,
Timo Feucht,"6' 3""",205 lbs.,"79""",Orthodox,18-Jan-96,0,0%,0,0%,0,0%,0%,0,
Scott Ferrozzo,"5' 11""",323 lbs.,,Orthodox,26-Apr-65,0,0%,0,0%,0,0%,0%,0,
Drew Fickett,"5' 10""",155 lbs.,"70""",Orthodox,14-Dec-79,2.33,41%,2.29,57%,1.3,35%,30%,2.2,
Scott Fiedler,"6' 4""",235 lbs.,,Orthodox,,0,0%,0,0%,0,0%,0%,0,
Ron Fields,"6' 2""",200 lbs.,,Orthodox,18-Nov-74,0.33,33%,2.64,11%,0,0%,0%,0,
Deiveson Figueiredo,"5' 5""",125 lbs.,"68""",Orthodox,18-Dec-87,3.38,56%,3.35,50%,1.57,50%,61%,2.4,
Francisco Figueiredo,"5' 6""",135 lbs.,"69""",Southpaw,23-Oct-89,1.93,54%,2.07,76%,4,66%,100%,0,
Edwin Figueroa,"5' 7""",135 lbs.,"69""",Orthodox,31-Jul-84,2.57,39%,3.06,51%,0.2,100%,37%,0.6,
Anthony Figueroa,"5' 4""",135 lbs.,,Orthodox,,2.37,48%,3.77,49%,0,0%,58%,0,
Paulo Filho,"5' 8""",185 lbs.,,Southpaw,24-May-78,1.86,48%,1.67,66%,2.4,32%,42%,1.6,
Andre Fili,"5' 11""",145 lbs.,"74""",Orthodox,25-Jun-90,3.73,36%,3.9,52%,2.5,49%,64%,0.2,
Brady Fink,"6' 0""",183 lbs.,,Orthodox,,1.69,41%,1.69,61%,3.63,25%,0%,3.6,
Jan Finney,"5' 8""",135 lbs.,,Orthodox,,2.16,28%,8.75,42%,0.77,11%,25%,0,
Jesse Finney,"6' 0""",170 lbs.,,,11-Jul-74,0,0%,0,0%,0,0%,0%,0,
Mirko Filipovic,"6' 2""",230 lbs.,"73""",Southpaw,10-Sep-74,2.11,50%,1.89,63%,0.19,40%,78%,0.3,
Luigi Fioravanti,"5' 8""",170 lbs.,"70""",Orthodox,22-Jan-81,2.23,42%,2.21,69%,3.76,63%,67%,0.9,
Manon Fiorot,"5' 7""",125 lbs.,,Orthodox,17-Feb-90,5.8,53%,1.86,79%,1.64,100%,100%,0,
Luiz Firmino,"5' 6""",154 lbs.,,Orthodox,18-Mar-82,1.23,50%,1.22,51%,3.86,45%,20%,0.9,
Spencer Fisher,"5' 7""",155 lbs.,"68""",Southpaw,09-May-76,3.17,43%,3.03,64%,0.67,30%,60%,0.8,
Chris Fishgold,"5' 8""",145 lbs.,"68""",Orthodox,06-Jun-92,2.01,32%,2.7,46%,2.59,46%,44%,1.3,
Bryanna Fissori,"5' 4""",145 lbs.,,,,1.4,46%,1.2,57%,2,25%,50%,0,
Isi Fitikefu,"5' 10""",205 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Jimmy Flick,"5' 7""",125 lbs.,"68""",Orthodox,07-Sep-90,1.99,58%,2.3,50%,1.81,50%,0%,7.2,
Alejandro Flores,"5' 10""",145 lbs.,"73""",Orthodox,06-Aug-91,3.66,40%,2.02,54%,0,0%,0%,0,
Colin Fletcher,"6' 2""",155 lbs.,,Orthodox,08-Jan-83,3.1,34%,2.97,62%,0,0%,27%,0,
Ty Flores,"6' 3""",205 lbs.,"73""",Switch,22-Dec-93,2,37%,7.8,25%,1,9%,0%,0,
Rafael Fiziev,"5' 8""",155 lbs.,"71""",Switch,05-Mar-93,4.67,57%,4.17,55%,0.84,50%,100%,0,
Luke Flores,"6' 0""",155 lbs.,"73""",Southpaw,17-Mar-88,1.56,44%,1.88,60%,0,0%,40%,1.2,
Jon Fitch,"6' 0""",170 lbs.,"74""",Orthodox,24-Feb-78,2.61,50%,1.65,54%,3.6,51%,56%,0.8,
Cody Floyd,,,,,18-Jul-88,0,0%,0,0%,0,0%,0%,0,
Mal Foki,"5' 7""",220 lbs.,,Orthodox,,2.86,14%,14.29,54%,0,0%,0%,0,
Bobby Flynn,,170 lbs.,,,,0.38,25%,0.77,0%,0,0%,0%,0,
Kenny Florian,"5' 10""",145 lbs.,"74""",Southpaw,26-May-76,2.41,40%,1.85,63%,2.22,33%,60%,1.3,
Caros Fodor,"5' 9""",155 lbs.,"74""",Orthodox,07-Jan-84,2.76,54%,2.83,54%,2.1,25%,50%,0,
Matt Foki,"5' 7""",220 lbs.,,Orthodox,,0,0%,3.37,56%,0,0%,0%,0,
AJ Fonseca,"5' 4""",145 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Rob Font,"5' 8""",135 lbs.,"71""",Orthodox,25-Jun-87,5.21,42%,3.83,62%,1.2,36%,48%,0.8,
Jesse Forbes,"6' 2""",185 lbs.,"75""",Southpaw,24-Oct-84,2.11,24%,4.06,53%,1.79,75%,66%,1.2,
Claudionor Fontinelle,"5' 5""",185 lbs.,,Orthodox,,2.62,42%,10.25,28%,0,0%,0%,0,
Sterling Ford,"5' 10""",155 lbs.,,,12-Mar-86,0,0%,0,0%,0,0%,0%,0,
Codale Ford,"5' 9""",170 lbs.,,,13-May-79,0,0%,0,0%,0,0%,0%,0,
Marcel Fortuna,"6' 1""",205 lbs.,"74""",Orthodox,22-Oct-85,3.83,46%,4.52,64%,0.45,8%,75%,0.5,
Jussier Formiga,"5' 5""",125 lbs.,"67""",Orthodox,14-Apr-85,1.42,39%,2.34,64%,1.82,35%,87%,0.6,
Renee Forte,"5' 7""",155 lbs.,"71""",Orthodox,27-Mar-87,2.08,32%,2.12,63%,2.32,58%,66%,0,
Brian Foster,"5' 9""",170 lbs.,"71""",Orthodox,03-Apr-84,3.3,39%,1.63,65%,3.67,60%,37%,1.8,
Francisco France,"6' 0""",205 lbs.,,,21-Jan-83,0.54,33%,3.51,27%,0,0%,0%,6.1,
John Franchi,"5' 6""",145 lbs.,"67""",Orthodox,16-Jul-82,1.83,48%,2.59,48%,2.68,80%,40%,0.3,
Brandon Foxworth,"5' 11""",145 lbs.,,Orthodox,28-Apr-79,1.33,32%,4.59,50%,0,0%,0%,0,
Mason Fowler,"5' 11""",170 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Hermes Franca,"5' 6""",155 lbs.,"71""",Orthodox,26-Aug-74,1.78,39%,2.85,55%,1.53,36%,37%,2.4,
Glaico Franca Moreira,"6' 0""",155 lbs.,"77""",Orthodox,28-Feb-91,2.35,42%,3.46,47%,2.68,42%,76%,0.3,
Xavier Foupa-Pokam,"6' 1""",185 lbs.,,Open Stance,03-Jul-82,1.47,43%,2.5,49%,0,0%,16%,0,
Rich Franklin,"6' 1""",185 lbs.,"76""",Southpaw,05-Oct-74,4.1,44%,2.07,62%,1.31,66%,63%,0.7,
Zane Frazier,"6' 5""",250 lbs.,,Orthodox,,0,0%,0,0%,0,0%,0%,0,
Zoila Frausto,"5' 4""",135 lbs.,,Orthodox,,0.77,31%,1.64,53%,0,0%,57%,0,
Justin Frazier,"6' 0""",265 lbs.,"75""",Southpaw,15-Jun-89,1.11,66%,6.11,4%,0,0%,0%,0,
Gary Frazier,"6' 0""",245 lbs.,,Orthodox,,1.5,39%,2.77,46%,0,0%,100%,0,
Stephanie Frausto,"5' 2""",115 lbs.,"61""",Orthodox,20-Sep-90,1.43,21%,3.57,60%,0,0%,0%,0,
Ian Freeman,"5' 11""",225 lbs.,,Orthodox,10-Nov-66,2.54,48%,3.11,44%,1.44,40%,80%,0.7,
Jason Freeman,"6' 2""",225 lbs.,,,02-Sep-76,0,0%,0,0%,0,0%,0%,0,
Willamy Freire,"5' 8""",155 lbs.,,,28-Jul-87,1.53,37%,0.93,62%,0.5,100%,73%,0,
Patricio Freire,"5' 5""",145 lbs.,"65""",,07-Jul-87,2.84,41%,4.43,60%,0.6,18%,94%,0.6,
Patricky Freire,"5' 7""",155 lbs.,"71""",,01-Jun-86,3.06,44%,3.34,69%,1.26,33%,100%,0,
Jeremy  Freitag,"6' 1""",205 lbs.,,,,0,0%,8.37,19%,0,0%,33%,1.9,
Rafael Freitas,,205 lbs.,,Orthodox,,2,29%,8,51%,11.25,50%,0%,0,
Clay French,"5' 7""",161 lbs.,,Southpaw,07-Oct-80,1.52,50%,1.27,16%,0,0%,100%,0,
Donavon Frelow,"5' 7""",135 lbs.,,Orthodox,20-Jan-85,2.4,27%,3.2,52%,1,100%,26%,0,
Mike French,"5' 10""",145 lbs.,,,29-May-75,0.23,23%,2.17,42%,0,0%,22%,1,
Matt Frevola,"5' 9""",155 lbs.,"71""",Orthodox,11-Jun-90,2.73,37%,3.44,58%,2.59,37%,40%,1.1,
Jinh Yu Frey,"5' 3""",115 lbs.,"65""",Southpaw,20-May-85,1.79,40%,3.35,44%,1.06,42%,83%,0.7,
Artem Frolov,"5' 10""",185 lbs.,,,07-Sep-91,0,0%,0,0%,0,0%,0%,0,
Sarah Frota,"5' 6""",125 lbs.,"69""",Southpaw,14-Apr-87,4.52,52%,2.57,55%,0,0%,53%,0,
Don Frye,"6' 1""",219 lbs.,,Orthodox,23-Nov-65,2.87,64%,3.57,37%,0.91,57%,45%,0.7,
Katsuhisa Fujii,"6' 0""",205 lbs.,,Orthodox,15-Aug-72,4,50%,4.43,64%,2.14,25%,50%,2.1,
Tony Fryklund,"6' 0""",185 lbs.,,Orthodox,26-Mar-71,3.49,39%,6.5,43%,0,0%,66%,0.5,
Jesse Fujarczyk,"6' 4""",225 lbs.,,Southpaw,28-Jan-83,1.03,33%,4.91,38%,0,0%,25%,0,
Keisuke Fujiwara,"5' 6""",139 lbs.,,Switch,,0.73,44%,1.2,47%,0,0%,23%,2.5,
Megumi Fujii,"5' 3""",113 lbs.,,,26-Apr-74,2.4,42%,0,100%,0,0%,0%,12,
Kazuyuki Fujita,"6' 0""",235 lbs.,,Orthodox,16-Oct-70,1.05,49%,1.99,52%,2.78,36%,85%,0.6,
Riki Fukuda,"6' 0""",185 lbs.,"73""",Southpaw,06-Jan-81,4.24,43%,3.71,64%,2.17,43%,70%,0,
Masio Fullen,"5' 10""",145 lbs.,"70""",Orthodox,06-Oct-86,2.46,32%,3.5,54%,0.47,33%,69%,0,
Sam Fulton,,,,,,0,0%,0,0%,0,0%,0%,0,
Masakatsu Funaki,"6' 0""",185 lbs.,,Southpaw,13-Mar-69,1.82,68%,2.92,35%,0,0%,0%,5.5,
Travis Fulton,"6' 0""",240 lbs.,,Orthodox,29-May-77,0,0%,0,0%,0,0%,0%,0,
Ricardo Funch,"5' 10""",170 lbs.,"74""",Southpaw,14-Aug-80,2.61,65%,3.57,40%,1.24,18%,60%,0,
Katsuaki Furuki,"6' 0""",168 lbs.,,,10-Nov-80,0.27,10%,2.67,39%,0,0%,0%,3,
Gustavo Gabriel,"5' 6""",125 lbs.,,Orthodox,01-Apr-94,4.06,65%,4.26,46%,0,0%,50%,0,
James Gabert,,178 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Justin Gaethje,"5' 11""",155 lbs.,"70""",Orthodox,14-Nov-88,7.46,59%,7.99,55%,0,0%,69%,0,
Alavutdin Gadjiev,"6' 2""",185 lbs.,,Orthodox,23-Jun-82,0.99,27%,0.99,57%,0,0%,50%,0,
Claudia Gadelha,"5' 4""",115 lbs.,"63""",Orthodox,07-Dec-88,3.31,41%,4.57,57%,3.03,42%,58%,0.7,
Sheila Gaff,"5' 5""",135 lbs.,,Orthodox,29-Dec-89,1.6,50%,2.89,28%,0,0%,20%,0,
Muin Gafurov,"5' 7""",135 lbs.,,,17-May-96,0,0%,0,0%,0,0%,0%,0,
Mitch Gagnon,"5' 5""",135 lbs.,"65""",Southpaw,10-Oct-84,2.76,46%,2.21,61%,1.16,25%,65%,1.9,
Brandon Gaines,"6' 3""",185 lbs.,,,,0,0%,0,0%,0,0%,0%,0,
Travis Galbraith,"6' 0""",170 lbs.,,Orthodox,18-May-81,2.21,40%,3.45,48%,1.33,25%,0%,1.3,
